Users_UserPrincipalName	 AccountSkuId	 ServicePlan	?ServiceStatus	?GroupsAssigningLicense
GradyA@oncanyas.onmicrosoft.com	oncanyas:DEVELOPERPACK_E5	Nucleus	PendingProvisioning	
GradyA@oncanyas.onmicrosoft.com	oncanyas:DEVELOPERPACK_E5	MIP_S_Exchange	Success	
GradyA@oncanyas.onmicrosoft.com	oncanyas:DEVELOPERPACK_E5	MICROSOFT_COMMUNICATION_COMPLIANCE	Success	
GradyA@oncanyas.onmicrosoft.com	oncanyas:DEVELOPERPACK_E5	GRAPH_CONNECTORS_SEARCH_INDEX	Success	
GradyA@oncanyas.onmicrosoft.com	oncanyas:DEVELOPERPACK_E5	Content_Explorer	PendingProvisioning	
GradyA@oncanyas.onmicrosoft.com	oncanyas:DEVELOPERPACK_E5	POWER_VIRTUAL_AGENTS_O365_P3	Success	
GradyA@oncanyas.onmicrosoft.com	oncanyas:DEVELOPERPACK_E5	CDS_O365_P3	Success	
GradyA@oncanyas.onmicrosoft.com	oncanyas:DEVELOPERPACK_E5	PROJECT_O365_P3	Success	
GradyA@oncanyas.onmicrosoft.com	oncanyas:DEVELOPERPACK_E5	INSIDER_RISK	Success	
GradyA@oncanyas.onmicrosoft.com	oncanyas:DEVELOPERPACK_E5	EXCEL_PREMIUM	Success	
GradyA@oncanyas.onmicrosoft.com	oncanyas:DEVELOPERPACK_E5	MTP	Success	
GradyA@oncanyas.onmicrosoft.com	oncanyas:DEVELOPERPACK_E5	MICROSOFT_SEARCH	PendingProvisioning	
GradyA@oncanyas.onmicrosoft.com	oncanyas:DEVELOPERPACK_E5	DYN365_CDS_O365_P3	Success	
GradyA@oncanyas.onmicrosoft.com	oncanyas:DEVELOPERPACK_E5	MICROSOFTBOOKINGS	Success	
GradyA@oncanyas.onmicrosoft.com	oncanyas:DEVELOPERPACK_E5	RECORDS_MANAGEMENT	Success	
GradyA@oncanyas.onmicrosoft.com	oncanyas:DEVELOPERPACK_E5	ML_CLASSIFICATION	Success	
GradyA@oncanyas.onmicrosoft.com	oncanyas:DEVELOPERPACK_E5	INSIDER_RISK_MANAGEMENT	Success	
GradyA@oncanyas.onmicrosoft.com	oncanyas:DEVELOPERPACK_E5	INFO_GOVERNANCE	Success	
GradyA@oncanyas.onmicrosoft.com	oncanyas:DEVELOPERPACK_E5	DATA_INVESTIGATIONS	Success	
GradyA@oncanyas.onmicrosoft.com	oncanyas:DEVELOPERPACK_E5	CUSTOMER_KEY	Success	
GradyA@oncanyas.onmicrosoft.com	oncanyas:DEVELOPERPACK_E5	COMMUNICATIONS_DLP	Success	
GradyA@oncanyas.onmicrosoft.com	oncanyas:DEVELOPERPACK_E5	COMMUNICATIONS_COMPLIANCE	Success	
GradyA@oncanyas.onmicrosoft.com	oncanyas:DEVELOPERPACK_E5	SAFEDOCS	Success	
GradyA@oncanyas.onmicrosoft.com	oncanyas:DEVELOPERPACK_E5	M365_ADVANCED_AUDITING	Success	
